,SubName,QDA_Acc,QDA_F1,QDA_AUC,RF_Acc,RF_F1,RF_AUC,KNN_Acc,KNN_F1,KNN_AUC
0,Nos000,0.9402777777777777,0.6709605461634892,0.8624242424242424,0.9277777777777776,0.6679705423713119,0.8752272727272729,0.8940972222222223,0.6884810784928672,0.7461363636363636
1,Nos001,0.9333333333333332,0.6441715661036055,0.8574999999999999,0.9173611111111111,0.7066694919535679,0.9329545454545453,0.8930555555555556,0.7192141608654459,0.8208712121212121
2,Nos002,0.9165289256198347,0.6283534084136488,0.8041818181818182,0.8822314049586776,0.5498938568390082,0.8814090909090908,0.8760330578512397,0.7124563572863446,0.8039545454545454
3,Nos003,0.9309027777777779,0.6425467729644373,0.9197727272727271,0.8937499999999998,0.6668925178538293,0.9370454545454546,0.8899305555555556,0.7394058614486707,0.8546590909090909
4,Nos004,0.9319444444444444,0.6713503050488887,0.918560606060606,0.9336805555555555,0.7669767687805016,0.9456818181818182,0.9003472222222223,0.8018974808907703,0.8920075757575758
5,Nos005,0.925347222222222,0.6164101087942405,0.7619696969696971,0.921875,0.5630031475461522,0.813939393939394,0.8829861111111111,0.7050227853865026,0.7702272727272729
6,Nos006,0.8652777777777776,0.6415611661121232,0.8168939393939394,0.9149305555555555,0.638333113675777,0.915,0.8909722222222222,0.6687050972098625,0.822689393939394
7,Nos007,0.9239583333333333,0.7035851559483665,0.8952272727272726,0.9093749999999999,0.6743834376412675,0.9081439393939394,0.9197916666666667,0.8105949374168037,0.9043560606060606
8,Nos008,0.9253472222222222,0.6483121906521224,0.9199242424242424,0.8756944444444444,0.6482673151385038,0.9154924242424244,0.8555555555555556,0.7199758608236254,0.818219696969697
9,Nos009,0.9357638888888887,0.6690686517644867,0.9490909090909092,0.9434027777777777,0.8040926317625283,0.9601515151515153,0.9107638888888888,0.8170697437951554,0.9079545454545453
10,Nos010,0.9347222222222221,0.6780378115448618,0.8932575757575757,0.9131944444444443,0.732389493828128,0.9557196969696968,0.8847222222222224,0.7769665555737649,0.8571590909090908
11,Nos101,0.9253472222222222,0.6232604406695074,0.9235606060606059,0.9062500000000001,0.6872745671508492,0.9302651515151514,0.8881944444444444,0.7483590718736615,0.8640909090909091
12,Nos109,0.9166666666666666,0.5837861211604721,0.728939393939394,0.9256944444444444,0.5626467499480167,0.8411363636363635,0.8930555555555556,0.6517734946792945,0.75375
13,Nos111,0.9385416666666667,0.6716873127768669,0.8653030303030302,0.9329861111111112,0.6911534330748129,0.8715909090909091,0.9097222222222223,0.7613683755879773,0.8121590909090909
14,Nos112,0.9159722222222221,0.657168052718037,0.832121212121212,0.9211805555555554,0.5770567539500019,0.7728787878787878,0.8913194444444444,0.6291484584566279,0.7058712121212122
15,Nos125,0.936111111111111,0.6776909003525504,0.8110606060606061,0.9145833333333333,0.6025275979570002,0.8667803030303031,0.8854166666666666,0.7437718211078841,0.8193560606060606
16,Nos133,0.9302083333333333,0.6258298404035098,0.832878787878788,0.9156249999999999,0.6547914034966754,0.9031439393939394,0.8989583333333333,0.6424994436590037,0.7417424242424243
17,Nos222,0.904513888888889,0.5670572574931069,0.668939393939394,0.9197916666666665,0.5533104115275342,0.7803787878787878,0.8951388888888888,0.5859251938449824,0.6389772727272727
18,Nos242,0.9315972222222221,0.6667527923891803,0.8186363636363635,0.9239583333333332,0.6154208030283012,0.8465530303030304,0.8826388888888889,0.7122347066986343,0.7926136363636364
19,Nos554,0.7638888888888888,0.46645746171537694,0.48318181818181816,0.915972222222222,0.47806848787995393,0.47575757575757577,0.9003472222222223,0.482963684110127,0.5065909090909092
20,allSub,0.2830511288180611,0.23697545186602798,0.5348090689503734,0.9165504648074366,0.47822898547586373,0.6290566299642387,0.86703187250996,0.522607830079365,0.5405027409185018
