,SubName,QDA_Acc,QDA_F1,QDA_AUC,RF_Acc,RF_F1,RF_AUC,KNN_Acc,KNN_F1,KNN_AUC
0,fBlock00,0.9402777777777777,0.6709605461634892,0.8624242424242424,0.9305555555555555,0.7177985251890835,0.8757954545454546,0.8940972222222223,0.6884810784928672,0.7461363636363636
1,fBlock01,0.9333333333333332,0.6441715661036055,0.8574999999999999,0.9232638888888888,0.747481297650856,0.9232196969696972,0.8930555555555556,0.7192141608654459,0.8208712121212121
2,fBlock02,0.9165289256198347,0.6283534084136488,0.8041818181818182,0.8785123966942149,0.5655256875105356,0.8567272727272727,0.8760330578512397,0.7124563572863447,0.8039545454545454
3,fBlock03,0.9309027777777779,0.6425467729644373,0.9197727272727271,0.8878472222222222,0.7135696366862011,0.9353030303030304,0.8899305555555556,0.7394058614486707,0.8546590909090909
4,fBlock04,0.9319444444444444,0.6713503050488887,0.918560606060606,0.9298611111111112,0.7355626900217486,0.9368181818181819,0.9003472222222223,0.8018974808907705,0.8920075757575758
5,fBlock05,0.925347222222222,0.6164101087942405,0.7619696969696971,0.9232638888888888,0.5822305605984192,0.7969696969696969,0.8829861111111111,0.7050227853865026,0.7702272727272729
6,fBlock06,0.8652777777777776,0.6415611661121233,0.8168939393939394,0.9090277777777777,0.6337094468042106,0.8946590909090909,0.8909722222222222,0.6687050972098625,0.822689393939394
7,fBlock07,0.9239583333333333,0.7035851559483662,0.8952272727272726,0.8888888888888888,0.7121248718941647,0.9006060606060604,0.9197916666666667,0.8105949374168037,0.9043560606060606
8,fBlock08,0.9253472222222222,0.6483121906521224,0.9199242424242424,0.8486111111111113,0.6483240483480425,0.8920454545454545,0.8555555555555556,0.7199758608236254,0.818219696969697
9,fBlock09,0.9357638888888887,0.6690686517644867,0.9490909090909092,0.9440972222222225,0.8223712542798,0.9546969696969699,0.9107638888888888,0.8170697437951554,0.9079545454545453
10,fBlock10,0.9347222222222221,0.6780378115448618,0.8932575757575757,0.9187499999999998,0.7762177600578855,0.9367045454545453,0.8847222222222224,0.7769665555737649,0.8571590909090908
11,fBlock11,0.9253472222222222,0.6232604406695074,0.9235606060606059,0.8927083333333333,0.6839485989448694,0.9120833333333334,0.8881944444444444,0.7483590718736615,0.8640909090909091
12,fBlock12,0.9166666666666666,0.5837861211604721,0.728939393939394,0.9229166666666666,0.5904483558141563,0.8304166666666667,0.8930555555555556,0.6517734946792945,0.75375
13,fBlock13,0.9385416666666667,0.6716873127768669,0.8653030303030302,0.9166666666666665,0.711553948710591,0.8731060606060606,0.9097222222222223,0.7613683755879773,0.8121590909090909
14,fBlock14,0.9159722222222221,0.657168052718037,0.832121212121212,0.9114583333333334,0.6046268053931829,0.7486363636363635,0.8913194444444444,0.6291484584566279,0.7058712121212122
15,fBlock15,0.936111111111111,0.6776909003525504,0.8110606060606061,0.9024305555555555,0.6154547071292789,0.8535606060606061,0.8854166666666666,0.7437718211078841,0.8193560606060606
16,fBlock16,0.9302083333333333,0.6258298404035098,0.832878787878788,0.9107638888888888,0.6747046840017616,0.8858333333333334,0.8989583333333333,0.6424994436590037,0.7417424242424243
17,fBlock17,0.904513888888889,0.5670572574931069,0.668939393939394,0.9138888888888889,0.5531292255301936,0.772348484848485,0.8951388888888888,0.5859251938449824,0.6389772727272727
18,fBlock18,0.9315972222222221,0.6667527923891803,0.8186363636363635,0.9184027777777777,0.6195392072059372,0.8388636363636365,0.8826388888888889,0.7122347066986343,0.7926136363636364
19,fBlock19,0.7638888888888888,0.46645746171537694,0.48318181818181816,0.9145833333333332,0.477687099626712,0.4950757575757576,0.9003472222222223,0.482963684110127,0.5065909090909092
20,allSubs,0.2830511288180611,0.23697545186602798,0.5348090689503734,0.9164674634794155,0.47820633662508993,0.6262705862977602,0.86703187250996,0.522607830079365,0.5405027409185018
